machine_id,temp,vibration,pressure,failure
SIM0001,75.96,0.428,35.16,0
SIM0002,58.48,0.913,38.53,0
SIM0003,81.76,0.676,34.91,0
SIM0004,84.23,0.343,41.33,0
SIM0005,46.64,0.286,32.0,0
SIM0006,55.07,0.03,26.37,0
SIM0007,73.66,0.679,47.85,0
SIM0008,67.89,0.459,31.07,0
SIM0009,71.78,0.03,31.31,0
SIM0010,60.91,0.398,34.57,0
SIM0011,83.43,0.274,35.44,0
SIM0012,82.11,1.116,32.49,0
SIM0013,72.86,0.03,34.89,0
SIM0014,86.65,0.09,34.74,1
SIM0015,78.08,0.957,36.14,0
SIM0016,60.83,1.041,19.68,0
SIM0017,76.79,0.327,47.23,0
SIM0018,59.53,0.365,34.04,0
SIM0019,83.42,0.79,38.77,0
SIM0020,71.35,0.03,26.04,0
SIM0021,69.6,0.03,31.94,0
SIM0022,63.15,0.485,30.63,0
SIM0023,87.89,1.107,44.55,0
SIM0024,69.99,0.432,31.19,0
SIM0025,66.43,0.614,39.93,0
SIM0026,67.42,0.965,30.77,0
SIM0027,78.92,1.296,32.06,0
SIM0028,76.75,0.384,33.4,1
SIM0029,77.37,0.574,43.34,0
SIM0030,77.6,1.199,22.72,0
SIM0031,99.84,0.062,26.45,0
SIM0032,66.72,0.929,22.34,0
SIM0033,65.34,0.234,27.93,0
SIM0034,61.42,0.615,29.72,0
SIM0035,80.01,0.498,24.51,0
SIM0036,86.68,0.254,30.23,0
SIM0037,70.52,0.246,21.9,0
SIM0038,61.08,0.674,28.38,0
SIM0039,61.28,0.918,42.8,0
SIM0040,80.46,0.536,37.62,0
SIM0041,81.66,0.604,36.22,0
SIM0042,79.06,0.774,28.48,0
SIM0043,63.35,0.25,25.02,0
SIM0044,75.02,0.831,27.6,0
SIM0045,73.52,0.859,34.72,0
SIM0046,74.84,1.465,40.64,0
SIM0047,83.33,0.452,40.87,0
SIM0048,74.91,0.424,39.1,0
SIM0049,80.83,0.841,30.21,0
SIM0050,72.88,0.858,35.16,0
SIM0051,75.76,0.398,32.91,0
SIM0052,80.21,0.443,33.69,0
SIM0053,53.06,0.764,48.24,0
SIM0054,67.84,0.299,23.55,0
SIM0055,65.89,0.44,33.47,0
SIM0056,63.69,0.61,42.88,0
SIM0057,68.42,0.919,25.47,1
SIM0058,91.43,0.374,30.82,0
SIM0059,60.74,0.03,31.56,0
SIM0060,84.59,0.03,33.55,0
SIM0061,50.12,0.152,24.63,0
SIM0062,67.65,0.134,38.87,0
SIM0063,74.12,0.527,39.33,0
SIM0064,79.62,0.176,38.3,0
SIM0065,81.25,0.341,29.34,0
SIM0066,82.31,0.317,35.56,0
SIM0067,67.47,0.43,29.15,0
SIM0068,65.99,1.03,32.84,0
SIM0069,83.15,0.805,49.0,0
SIM0070,69.51,0.585,35.62,0
SIM0071,55.42,0.423,27.28,0
SIM0072,57.27,0.433,36.17,0
SIM0073,60.05,0.691,26.21,0
SIM0074,78.46,0.779,27.21,0
SIM0075,73.85,0.271,28.23,0
SIM0076,80.98,0.592,32.11,0
SIM0077,66.45,0.03,41.09,0
SIM0078,74.06,0.652,38.76,0
SIM0079,80.13,0.839,38.4,0
SIM0080,67.98,0.485,27.86,0
SIM0081,77.94,1.198,31.48,1
SIM0082,63.39,0.28,36.77,0
SIM0083,67.28,0.654,30.92,0
SIM0084,67.04,0.568,33.19,0
SIM0085,56.45,0.546,37.87,0
SIM0086,78.33,0.541,32.73,0
SIM0087,65.9,0.616,36.47,0
SIM0088,72.16,0.868,45.35,1
SIM0089,78.25,1.048,33.88,0
SIM0090,77.8,0.579,42.67,0
SIM0091,80.65,0.857,38.64,0
SIM0092,70.72,0.341,25.46,0
SIM0093,66.5,0.84,27.84,0
SIM0094,70.96,0.321,29.58,0
SIM0095,50.06,0.951,29.44,0
SIM0096,53.19,1.332,34.41,0
SIM0097,54.8,0.538,39.0,0
SIM0098,59.04,0.03,43.16,0
SIM0099,77.2,0.394,37.0,0
SIM0100,60.23,0.999,32.1,0
SIM0101,67.08,0.768,21.47,0
SIM0102,88.89,0.665,35.46,0
SIM0103,67.37,0.923,35.17,0
SIM0104,81.59,0.745,36.19,0
SIM0105,59.86,0.994,48.69,0
SIM0106,69.33,0.893,43.06,0
SIM0107,59.65,1.097,40.1,0
SIM0108,67.59,0.702,28.75,0
SIM0109,82.92,0.888,31.67,0
SIM0110,49.54,0.476,34.38,0
SIM0111,77.65,0.376,29.96,0
SIM0112,75.09,1.16,38.25,1
